iteration,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,k_factor,base_k_factor,max_k_factor,div_number,bonus_after_layoff,filter_num,challengers,MODEL_NAME,train_accuracy,test_accuracy,score2025,mae2025
1,264,0.019456689292739852,3,0.9358035649505582,0.974847821800888,0.046656775715964896,3.409933244674188,0.507778428264715,,43,62,800,False,10000,False,best_final_xgb_model,0.669834630250464,0.6534865601869887,0.6702741702741702,0.3297258297258297
2,264,0.007775005305481196,6,0.9117152481926981,0.898050577331371,0.17705753440236893,0.4406956997035285,8.001818056464097,,43,62,800,False,10000,False,best_final_xgb_model,0.6759655112314049,0.6675107128944293,0.6666666666666666,0.3333333333333333
3,77,0.002347912879624183,3,0.9104810582278535,0.9997261017312484,0.03167456834869805,0.3265823701238013,0.023908218200537786,,43,62,800,False,10000,False,best_final_xgb_model,0.6547944924594264,0.6554343591741332,0.6572871572871573,0.3427128427128427
4,156,0.039385250942251544,5,0.8437570603663447,0.8697873462079391,0.0856950008270645,0.0004753428602906061,0.04201468478780609,,43,62,800,False,10000,False,best_final_xgb_model,0.6811839366817376,0.6704324113751461,0.6645021645021645,0.3354978354978355
5,59,0.036224350019975454,8,0.9809929408602257,0.8189210359079805,0.07810264466155167,0.000512169586989221,0.03295116262994828,,43,62,800,False,10000,False,best_final_xgb_model,0.7012169491177888,0.6548500194779898,0.6688311688311688,0.33116883116883117
6,273,0.01512633577112868,8,0.9621273131618012,0.8860756788493259,0.5924381799895542,7.005010631305502,1.2749694781926564,,43,62,800,False,10000,False,best_final_xgb_model,0.7046822296722337,0.6799766264121543,0.663059163059163,0.33694083694083693
7,182,0.01364453990559262,6,0.8948479088910773,0.9773745685191498,0.012859591089275795,0.0023912031782231157,0.09009145461898828,,43,62,800,False,10000,False,best_final_xgb_model,0.6778109269112867,0.668679392286716,0.6652236652236653,0.3347763347763348
8,218,0.02618396111751481,8,0.9976307891243853,0.8612088503334808,0.010652632758868984,0.0016202619312678062,4.342268546306558,,43,62,800,False,10000,False,best_final_xgb_model,0.724171869713653,0.6649785742111414,0.6688311688311688,0.33116883116883117
9,148,0.009397568626643689,4,0.904860563426276,0.9617344330244703,0.7608981806690562,0.00022883218906218065,0.18291650655753927,,43,62,800,False,10000,False,best_final_xgb_model,0.6674971037226135,0.6538761199844176,0.6594516594516594,0.34054834054834054
10,223,0.0022468393396631336,3,0.8689549040743234,0.9131879097561861,0.15936785254134508,3.0274186571769124,5.732212266685219,,43,62,800,False,10000,False,best_final_xgb_model,0.6606075518510545,0.6579664978574211,0.6616161616161617,0.3383838383838384
11,398,0.01659244560228983,5,0.9849424365404948,0.9768331558027628,0.5835264207520043,0.2597590946184676,0.3052083732475319,,43,62,800,False,10000,False,best_final_xgb_model,0.681009647423082,0.6716010907674328,0.663059163059163,0.33694083694083693
12,329,0.002660721194175548,4,0.8455448553657815,0.9358244642949836,0.38113360692076254,0.0001340343603991415,6.419625804942812,,43,62,800,False,10000,False,best_final_xgb_model,0.6651800818134285,0.6680950525905727,0.6565656565656566,0.3434343434343434
13,133,0.01760754393091876,4,0.8667326638656925,0.891071095575007,0.08532906566466986,1.0282326870452336,1.3812222148098707,,43,62,800,False,10000,False,best_final_xgb_model,0.6686761192958713,0.6679002726918583,0.6601731601731602,0.3398268398268398
14,230,0.007482239482881272,6,0.8310213101770435,0.9495820301499228,0.05499539005392784,0.10198044197327745,5.715581044968599,,43,62,800,False,10000,False,best_final_xgb_model,0.67510431724746,0.6719906505648617,0.6637806637806638,0.3362193362193362
15,177,0.0026403406538266054,4,0.9817630380227024,0.8761204226670924,0.0879717582522739,0.24594568234712605,0.08948925394569289,,43,62,800,False,10000,False,best_final_xgb_model,0.663098863018895,0.6513439813011297,0.6515151515151515,0.3484848484848485
16,283,0.022282859092117566,9,0.9076873651615573,0.9722863793630317,0.04132170384338034,0.00016172613638054702,5.606709025056963,,43,62,800,False,10000,False,best_final_xgb_model,0.7664934026389444,0.6550447993767043,0.6738816738816739,0.32611832611832614
17,375,0.01976190786336492,6,0.9033562224384488,0.8970746616705662,0.03430074775184154,2.5162224816510643,0.06180524899365676,,43,62,800,False,10000,False,best_final_xgb_model,0.6949425358061904,0.6719906505648617,0.6688311688311688,0.33116883116883117
18,377,0.006237421941551732,4,0.8261005575490059,0.8992262736691681,0.21724534552636282,1.1221224440226,2.737769438825025,,43,62,800,False,10000,False,best_final_xgb_model,0.6687888946985309,0.6649785742111414,0.663059163059163,0.33694083694083693
19,156,0.003964928490349533,8,0.8448630356832827,0.8856049416291539,0.01732510963156703,0.6588494564572992,1.1371801168708278,,43,62,800,False,10000,False,best_final_xgb_model,0.6894472980038754,0.6632255551227113,0.6601731601731602,0.3398268398268398
20,388,0.004565934785032189,4,0.9830361822219591,0.9426575183031378,0.023713922818975816,1.1310818432358865,0.03371156362905933,,43,62,800,False,10000,False,best_final_xgb_model,0.6674458421759502,0.6772497078301519,0.658008658008658,0.341991341991342
21,88,0.0031747245168921613,4,0.9624239490892743,0.9369796749071075,0.0270731993241857,0.0013812375728797792,4.743376492827395,,43,62,800,False,10000,False,best_final_xgb_model,0.6619608566829679,0.6614725360342812,0.658008658008658,0.341991341991342
22,123,0.0021694011533256313,6,0.85087081180963,0.9118076440582036,0.25583807292861865,0.01637545341631471,0.6078475538665647,,43,62,800,False,10000,False,best_final_xgb_model,0.6706035534504147,0.6641994546162836,0.6565656565656566,0.3434343434343434
23,137,0.0032822482812942767,3,0.872282788151759,0.8869783975689769,0.05987173325213998,0.05815561949818776,8.476681525276202,,43,62,800,False,10000,False,best_final_xgb_model,0.6600436748377572,0.6721854304635762,0.6572871572871573,0.3427128427128427
24,161,0.0019945875245510132,8,0.8551806751931716,0.802807050727096,0.08396205594999624,0.001009820521266707,0.033219143722117,,43,62,800,False,10000,False,best_final_xgb_model,0.6873455745906766,0.6828983248928711,0.6616161616161617,0.3383838383838384
25,387,0.0037109423485204114,5,0.8947594641102015,0.9186502502247508,0.3554793584312621,0.7088198621215315,0.1023792702626088,,43,62,800,False,10000,False,best_final_xgb_model,0.6700499287464501,0.6710167510712894,0.6623376623376623,0.33766233766233766
26,446,0.02546283985644931,5,0.9550938222915126,0.8515155781608109,0.01055049954790463,0.63877987182344,3.8855175995796123,,43,62,800,False,10000,False,best_final_xgb_model,0.6893037656732179,0.6723802103622906,0.665945165945166,0.33405483405483405
27,396,0.07589806040172929,5,0.9987292766034295,0.8271372167405172,0.017338885483589,0.6314193844128267,0.1290368763844208,,43,62,800,False,10000,False,best_final_xgb_model,0.7246332236336235,0.6638098948188547,0.6544011544011544,0.34559884559884557
28,431,0.012853778080510733,6,0.8537256358557308,0.9847239255582289,0.0224187426979672,0.5405104319692826,0.023843699505391378,,43,62,800,False,10000,False,best_final_xgb_model,0.6891294764145623,0.6682898324892871,0.6695526695526696,0.33044733044733043
29,99,0.0013658187958323132,4,0.8871325773499398,0.8769902750722715,0.22897341447238947,0.005222045740996839,0.7882543802599566,,43,62,800,False,10000,False,best_final_xgb_model,0.6621043890136253,0.6587456174522789,0.6594516594516594,0.34054834054834054
30,257,0.0765418930373141,7,0.8866497979637046,0.8072900161216792,0.17237458424568763,0.7008132239018957,0.016601318584753888,,43,62,800,False,10000,False,best_final_xgb_model,0.7911707112026984,0.651928320997273,0.6623376623376623,0.33766233766233766
