tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,p1_id,p1_seed,p1_entry,p1_name,p1_hand,p1_ht,p1_ioc,p1_age,p2_id,p2_seed,p2_entry,p2_name,p2_hand,p2_ht,p2_ioc,p2_age,score,best_of,round,minutes,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1stWon,p1_2ndWon,p1_SvGms,p1_bpSaved,p1_bpFaced,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1stWon,p2_2ndWon,p2_SvGms,p2_bpSaved,p2_bpFaced,p1_rank,p1_rank_points,p2_rank,p2_rank_points,RESULT
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,105932,0.0,0.0,0.0,0.0,185.0,0.0,33.10403832991102,210150,0.0,0.0,0.0,0.0,193.0,0.0,19.583162217659137,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206,273,48,1162,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,210506,0.0,0.0,0.0,0.0,193.0,0.0,20.602327173169062,126774,0.0,0.0,0.0,0.0,193.0,0.0,26.637919233401778,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,1270,12,3195,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,132686,0.0,0.0,0.0,0.0,185.0,0.0,28.11498973305955,124186,0.0,0.0,0.0,0.0,183.0,0.0,28.164271047227928,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,1445,58,965,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,206681,0.0,0.0,0.0,0.0,193.0,0.0,25.48186173853525,205734,0.0,0.0,0.0,0.0,185.0,0.0,25.06297056810404,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,960,79,732,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,105902,0.0,0.0,0.0,0.0,183.0,0.0,33.19438740588638,208502,0.0,0.0,0.0,0.0,183.0,0.0,22.62696783025325,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,637,304,173,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,211776,0.0,0.0,0.0,0.0,191.0,0.0,19.229979466119097,210317,0.0,0.0,0.0,0.0,188.0,0.0,21.7419575633128,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,414,258,216,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,206173,0.0,0.0,0.0,0.0,191.0,0.0,23.62696783025325,111797,0.0,0.0,0.0,0.0,201.0,0.0,29.473648186173854,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11830,36,1340,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,111442,0.0,0.0,0.0,0.0,183.0,0.0,30.95003422313484,136440,0.0,0.0,0.0,0.0,180.0,0.0,30.92539356605065,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1695,124,485,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,106121,0.0,0.0,0.0,0.0,191.0,0.0,32.17796030116359,209262,0.0,0.0,0.0,0.0,183.0,0.0,24.095824777549623,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,519,173,336,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,126846,0.0,0.0,0.0,0.0,188.0,0.0,28.98836413415469,106000,0.0,0.0,0.0,0.0,175.0,0.0,32.86789869952088,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,778,82,679,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,207733,0.0,0.0,0.0,0.0,193.0,0.0,23.27652292950034,208363,0.0,0.0,0.0,0.0,178.0,0.0,24.093086926762492,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2530,47,1173,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,126128,0.0,0.0,0.0,0.0,185.0,0.0,27.65160848733744,106423,0.0,0.0,0.0,0.0,193.0,0.0,28.97741273100616,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,823,71,766,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,209070,0.0,0.0,0.0,0.0,183.0,0.0,22.607802874743328,202104,0.0,0.0,0.0,0.0,170.0,0.0,24.26009582477755,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,732,28,1690,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,144826,0.0,0.0,0.0,0.0,188.0,0.0,28.019164955509925,106415,0.0,0.0,0.0,0.0,170.0,0.0,29.511978097193705,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231,254,65,807,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,127760,0.0,0.0,0.0,0.0,193.0,0.0,27.030116358658454,200624,0.0,0.0,0.0,0.0,196.0,0.0,24.7419575633128,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,405,22,2065,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,210262,0.0,0.0,0.0,0.0,188.0,0.0,21.654346338124572,200303,0.0,0.0,0.0,0.0,191.0,0.0,26.369609856262834,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125,481,97,612,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,200000,0.0,0.0,0.0,0.0,193.0,0.0,24.648870636550306,105526,0.0,0.0,0.0,0.0,193.0,0.0,34.936344969199176,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1905,43,1240,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,207686,0.0,0.0,0.0,0.0,185.0,0.0,24.33949349760438,207989,0.0,0.0,0.0,0.0,183.0,0.0,21.908966461327857,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,743,3,7010,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,104925,0.0,0.0,0.0,0.0,188.0,0.0,37.86242299794661,210460,0.0,0.0,0.0,0.0,180.0,0.0,19.917180013689254,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3900,107,566,1
