tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,loser_rank
2024-12-30_Canberra CH_2025-7393-339,Canberra CH,Hard,32,C,20241230,2025-7393-339,200188,,,Matteo Martineau,R,183.0,FRA,26.0,208230,,,Alibek Kachmazov,R,185.0,RUS,22.4,6-4 6-4,3,Q1,97.0,6.0,7.0,60.0,37.0,32.0,10.0,10.0,2.0,3.0,4.0,4.0,70.0,29.0,20.0,19.0,10.0,4.0,7.0,210.0,194.0
2024-12-30_Canberra CH_2025-7393-340,Canberra CH,Hard,32,C,20241230,2025-7393-340,209874,,,Maks Kasnikowski,R,180.0,POL,21.5,210436,,,Hayden Jones,R,175.0,AUS,18.3,6-7(4) 7-6(4) 7-6(3),3,Q1,169.0,9.0,4.0,123.0,79.0,63.0,24.0,18.0,4.0,5.0,12.0,5.0,124.0,82.0,58.0,26.0,18.0,3.0,4.0,180.0,973.0
2024-12-30_Canberra CH_2025-7393-341,Canberra CH,Hard,32,C,20241230,2025-7393-341,200516,,,Patrick Kypson,R,188.0,USA,25.2,202122,,,Yuta Shimizu,L,163.0,JPN,25.6,6-3 6-4,3,Q1,76.0,11.0,1.0,69.0,52.0,36.0,11.0,10.0,4.0,4.0,4.0,3.0,57.0,36.0,24.0,12.0,9.0,4.0,6.0,211.0,192.0
2024-12-30_Canberra CH_2025-7393-342,Canberra CH,Hard,32,C,20241230,2025-7393-342,123921,,,Calvin Hemery,R,191.0,FRA,29.9,208260,,,Zachary Svajda,R,175.0,USA,22.1,6-2 6-0,3,Q1,58.0,5.0,0.0,40.0,29.0,23.0,7.0,7.0,1.0,1.0,0.0,3.0,48.0,29.0,12.0,9.0,7.0,2.0,7.0,201.0,166.0
2024-12-30_Canberra CH_2025-7393-343,Canberra CH,Hard,32,C,20241230,2025-7393-343,210319,,,Ethan Quinn,R,191.0,USA,20.8,206703,,,Paul Jubb,R,180.0,GBR,25.2,7-6(4) 6-4,3,Q1,112.0,6.0,0.0,79.0,48.0,34.0,18.0,11.0,5.0,6.0,4.0,1.0,67.0,42.0,30.0,12.0,11.0,2.0,4.0,202.0,185.0
2024-12-30_Canberra CH_2025-7393-344,Canberra CH,Hard,32,C,20241230,2025-7393-344,105554,,,Daniel Evans,R,175.0,GBR,34.6,207182,,,Emilio Nava,R,185.0,USA,23.1,7-5 0-6 6-3,3,Q1,129.0,4.0,6.0,87.0,55.0,38.0,13.0,13.0,5.0,9.0,10.0,2.0,83.0,48.0,33.0,17.0,14.0,6.0,10.0,164.0,212.0
2024-12-30_Canberra CH_2025-7393-345,Canberra CH,Hard,32,C,20241230,2025-7393-345,200587,,,Brandon Holt,R,185.0,USA,26.7,213178,,,Cruz Hewitt,U,,AUS,16.1,7-6(9) 6-1,3,Q1,88.0,6.0,0.0,71.0,53.0,35.0,11.0,10.0,4.0,6.0,3.0,2.0,60.0,32.0,19.0,13.0,9.0,2.0,6.0,198.0,1265.0
2024-12-30_Canberra CH_2025-7393-346,Canberra CH,Hard,32,C,20241230,2025-7393-346,200008,,,Alexis Galarneau,R,180.0,CAN,25.8,105430,,,Radu Albot,R,175.0,MDA,35.1,6-2 6-3,3,Q1,76.0,7.0,3.0,55.0,31.0,21.0,14.0,9.0,3.0,5.0,1.0,8.0,60.0,27.0,19.0,9.0,8.0,7.0,12.0,205.0,163.0
2024-12-30_Canberra CH_2025-7393-347,Canberra CH,Hard,32,C,20241230,2025-7393-347,208389,,,James Trotter,R,183.0,JPN,25.4,211727,,,Pavle Marinkov,R,188.0,AUS,18.9,6-3 6-4,3,Q1,82.0,7.0,2.0,55.0,34.0,29.0,13.0,10.0,1.0,1.0,3.0,5.0,56.0,31.0,23.0,11.0,9.0,5.0,7.0,193.0,803.0
2024-12-30_Canberra CH_2025-7393-348,Canberra CH,Hard,32,C,20241230,2025-7393-348,208882,,,Roman Andres Burruchaga,R,183.0,ARG,22.9,210696,,,Alexander Blockx,R,191.0,BEL,19.7,6-1 7-5,3,Q1,73.0,2.0,5.0,56.0,35.0,28.0,11.0,10.0,4.0,5.0,3.0,0.0,59.0,39.0,23.0,10.0,9.0,7.0,11.0,156.0,203.0
2024-12-30_Canberra CH_2025-7393-349,Canberra CH,Hard,32,C,20241230,2025-7393-349,200273,,,Hady Habib,R,188.0,LIB,26.4,200647,,,Sho Shimabukuro,R,180.0,JPN,27.4,7-6(0) 6-3,3,Q1,81.0,12.0,0.0,64.0,48.0,42.0,11.0,11.0,2.0,2.0,6.0,2.0,64.0,30.0,22.0,19.0,10.0,3.0,4.0,216.0,190.0
2024-12-30_Canberra CH_2025-7393-350,Canberra CH,Hard,32,C,20241230,2025-7393-350,210399,,,Edward Winter,R,178.0,AUS,20.3,105732,,,Pierre Hugues Herbert,R,188.0,FRA,33.8,6-1 6-2,3,Q1,66.0,0.0,4.0,64.0,47.0,31.0,10.0,8.0,5.0,5.0,3.0,6.0,39.0,18.0,8.0,10.0,7.0,3.0,7.0,592.0,148.0
2024-12-30_Canberra CH_2025-7393-351,Canberra CH,Hard,32,C,20241230,2025-7393-351,209874,,,Maks Kasnikowski,R,180.0,POL,21.5,200188,,,Matteo Martineau,R,183.0,FRA,26.0,6-3 6-7(5) 7-6(3),3,Q2,174.0,5.0,6.0,122.0,61.0,44.0,40.0,17.0,5.0,6.0,20.0,6.0,116.0,77.0,56.0,21.0,16.0,7.0,9.0,180.0,210.0
2024-12-30_Canberra CH_2025-7393-352,Canberra CH,Hard,32,C,20241230,2025-7393-352,200516,,,Patrick Kypson,R,188.0,USA,25.2,123921,,,Calvin Hemery,R,191.0,FRA,29.9,7-6(5) 6-2,3,Q2,80.0,12.0,3.0,61.0,47.0,40.0,8.0,10.0,2.0,2.0,10.0,6.0,63.0,31.0,25.0,17.0,10.0,1.0,3.0,211.0,201.0
